#########################################################################
:FileType xy  ASCII  EnSim 1.0
# Canadian Hydraulics Centre/National Research Council (c) 1998-2012
# DataType                 XY DataObject
#
:Application              BlueKenue
:Version                  3.3.4
:WrittenBy                gegenleithner_admin
:CreationDate             Thu, Jul 20, 2023 08:54 AM
#
#------------------------------------------------------------------------
#
:AttributeName  1 
:AttributeUnits 1 m
:AttributeName  2 
:AttributeUnits 2 
:EndHeader
0 2.77315
0.0100013 2.77001
0.0200026 2.76686
0.0300038 2.76371
0.0400051 2.76057
0.0500064 2.75742
0.0600077 2.75427
0.070009 2.75113
0.0800103 2.74798
0.0900115 2.74483
0.100013 2.74168
0.110014 2.73854
0.120015 2.73539
0.130017 2.73224
0.140018 2.7291
0.150019 2.72595
0.160021 2.7228
0.170022 2.71966
0.180023 2.71651
0.190024 2.71336
0.200026 2.71021
0.210027 2.70707
0.220028 2.70392
0.230029 2.70077
0.240031 2.69763
0.250032 2.69448
0.260033 2.69133
0.270035 2.68819
0.280036 2.68504
0.290037 2.68189
0.300038 2.67874
0.31004 2.6756
0.320041 2.67245
0.330042 2.6693
0.340044 2.66616
0.350045 2.66301
0.360046 2.65986
0.370047 2.65672
0.380049 2.65357
0.39005 2.65042
0.400051 2.64727
0.410053 2.64413
0.420054 2.64098
0.430055 2.63783
0.440056 2.63469
0.450058 2.63154
0.460059 2.62839
0.47006 2.62525
0.480062 2.6221
0.490063 2.61895
0.500064 2.6158
0.510065 2.61266
0.520067 2.60951
0.530068 2.60636
0.540069 2.60322
0.550071 2.60007
0.560072 2.59692
0.570073 2.59378
0.580074 2.59063
0.590076 2.58748
0.600077 2.58433
0.610078 2.58119
0.620079 2.57804
0.630081 2.57489
0.640082 2.57175
0.650083 2.5686
0.660085 2.56545
0.670086 2.56231
0.680087 2.55916
0.690088 2.55601
0.70009 2.55286
0.710091 2.54972
0.720092 2.54657
0.730094 2.54342
0.740095 2.54028
0.750096 2.53713
0.760097 2.53398
0.770099 2.53084
0.7801 2.52769
0.790101 2.52454
0.800103 2.52139
0.810104 2.51825
0.820105 2.5151
0.830106 2.51195
0.840108 2.50881
0.850109 2.50566
0.86011 2.50251
0.870112 2.49937
0.880113 2.49622
0.890114 2.49307
0.900115 2.48992
0.910117 2.48678
0.920118 2.48363
0.930119 2.48048
0.94012 2.47734
0.950122 2.47419
0.960123 2.47104
0.970124 2.4679
0.980126 2.46475
0.990127 2.4616
1.00013 2.45845
1.01013 2.45531
1.02013 2.45216
1.03013 2.44901
1.04013 2.44587
1.05013 2.44272
1.06014 2.43957
1.07014 2.43643
1.08014 2.43328
1.09014 2.43013
1.10014 2.42698
1.11014 2.42384
1.12014 2.42069
1.13014 2.41754
1.14015 2.4144
1.15015 2.41125
1.16015 2.4081
1.17015 2.40496
1.18015 2.40181
1.19015 2.39866
1.20015 2.39551
1.21016 2.39237
1.22016 2.38922
1.23016 2.38607
1.24016 2.38293
1.25016 2.37978
1.26016 2.37663
1.27016 2.37348
1.28016 2.37034
1.29017 2.36719
1.30017 2.36404
1.31017 2.3609
1.32017 2.35775
1.33017 2.3546
1.34017 2.35146
1.35017 2.34831
1.36017 2.34516
1.37018 2.34201
1.38018 2.33887
1.39018 2.33572
1.40018 2.33257
1.41018 2.32943
1.42018 2.32628
1.43018 2.32313
1.44018 2.31999
1.45019 2.31684
1.46019 2.31369
1.47019 2.31054
1.48019 2.3074
1.49019 2.30425
1.50019 2.3011
1.51019 2.29796
1.52019 2.29481
1.5302 2.29166
1.5402 2.28852
1.5502 2.28537
1.5602 2.28222
1.5702 2.27907
1.5802 2.27593
1.5902 2.27278
1.60021 2.26963
1.61021 2.26649
1.62021 2.26334
1.63021 2.26019
1.64021 2.25705
1.65021 2.2539
1.66021 2.25075
1.67021 2.2476
