#########################################################################
:FileType xy  ASCII  EnSim 1.0
# Canadian Hydraulics Centre/National Research Council (c) 1998-2012
# DataType                 XY DataObject
#
:Application              BlueKenue
:Version                  3.3.4
:WrittenBy                sebastian
:CreationDate             Sun, Jul 30, 2023 12:29 PM
#
#------------------------------------------------------------------------
#
:AttributeName  1 
:AttributeUnits 1 m
:AttributeName  2 
:AttributeUnits 2 M
:EndHeader
0 1.90304
0.0999994 1.90296
0.199999 1.90289
0.299998 1.90281
0.399998 1.90274
0.499997 1.90262
0.599997 1.90249
0.699996 1.90236
0.799996 1.90223
0.899995 1.90209
0.999994 1.90196
1.09999 1.9018
1.19999 1.90159
1.29999 1.90139
1.39999 1.90119
1.49999 1.90098
1.59999 1.90078
1.69999 1.90057
1.79999 1.90034
1.89999 1.90011
1.99999 1.89987
2.09999 1.89964
2.19999 1.89941
2.29999 1.89918
2.39999 1.89894
2.49999 1.8987
2.59999 1.89846
2.69998 1.89822
2.79998 1.89799
2.89998 1.89775
2.99998 1.89751
3.09998 1.89728
3.19998 1.89704
3.29998 1.89681
3.39998 1.89657
3.49998 1.89634
3.59998 1.8961
3.69998 1.89588
3.79998 1.89565
3.89998 1.89542
3.99998 1.89519
4.09998 1.89496
4.19998 1.89474
4.29998 1.89451
4.39998 1.89429
4.49997 1.89406
4.59997 1.89384
4.69997 1.89361
4.79997 1.89339
4.89997 1.89317
4.99997 1.89294
5.09997 1.89272
5.19997 1.8925
5.29997 1.89228
5.39997 1.89206
5.49997 1.89184
5.59997 1.89162
5.69997 1.8914
5.79997 1.89118
5.89997 1.89096
5.99997 1.89074
6.09997 1.89052
6.19997 1.89029
6.29996 1.89007
6.39996 1.88985
6.49996 1.88963
6.59996 1.88941
6.69996 1.88919
6.79996 1.88897
6.89996 1.88875
6.99996 1.88852
7.09996 1.8883
7.19996 1.88808
7.29996 1.88786
7.39996 1.88764
7.49996 1.88742
7.59996 1.8872
7.69996 1.88698
7.79996 1.88675
7.89996 1.88653
7.99996 1.88631
8.09995 1.88609
8.19995 1.88587
8.29995 1.88565
8.39995 1.88543
8.49995 1.8852
8.59995 1.88498
8.69995 1.88476
8.79995 1.88454
8.89995 1.88432
8.99995 1.88409
9.09995 1.88387
9.19995 1.88365
9.29995 1.88343
9.39995 1.88321
9.49995 1.88298
9.59995 1.88276
9.69995 1.88254
9.79995 1.88232
9.89994 1.88209
9.99994 1.88187
10.0999 1.88165
10.1999 1.88143
10.2999 1.8812
10.3999 1.88098
10.4999 1.88076
10.5999 1.88054
10.6999 1.88031
10.7999 1.88009
10.8999 1.87987
10.9999 1.87965
11.0999 1.87942
11.1999 1.8792
11.2999 1.87898
11.3999 1.87876
11.4999 1.87853
11.5999 1.87831
11.6999 1.87809
11.7999 1.87786
11.8999 1.87764
11.9999 1.87742
12.0999 1.8772
12.1999 1.87697
12.2999 1.87675
12.3999 1.87653
12.4999 1.8763
12.5999 1.87608
12.6999 1.87586
12.7999 1.87563
12.8999 1.87541
12.9999 1.87519
13.0999 1.87496
13.1999 1.87474
13.2999 1.87452
13.3999 1.87429
13.4999 1.87407
13.5999 1.87385
13.6999 1.87362
13.7999 1.8734
13.8999 1.87318
13.9999 1.87295
14.0999 1.87273
14.1999 1.87251
14.2999 1.87228
14.3999 1.87206
14.4999 1.87184
14.5999 1.87161
14.6999 1.87139
14.7999 1.87117
14.8999 1.87094
14.9999 1.87072
15.0999 1.8705
15.1999 1.87027
15.2999 1.87005
15.3999 1.86983
15.4999 1.8696
15.5999 1.86938
15.6999 1.86915
15.7999 1.86893
15.8999 1.86871
15.9999 1.86848
16.0999 1.86826
16.1999 1.86803
16.2999 1.86781
16.3999 1.86759
16.4999 1.86736
16.5999 1.86714
16.6999 1.86691
16.7999 1.86669
16.8999 1.86647
16.9999 1.86624
17.0999 1.86602
17.1999 1.86579
17.2999 1.86557
17.3999 1.86535
17.4999 1.86512
17.5999 1.8649
17.6999 1.86467
17.7999 1.86445
17.8999 1.86422
17.9999 1.864
18.0999 1.86378
18.1999 1.86355
18.2999 1.86333
18.3999 1.8631
18.4999 1.86288
18.5999 1.86265
18.6999 1.86243
18.7999 1.8622
18.8999 1.86198
18.9999 1.86175
19.0999 1.86153
19.1999 1.86131
19.2999 1.86108
19.3999 1.86086
19.4999 1.86063
19.5999 1.86041
19.6999 1.86018
19.7999 1.85996
19.8999 1.85973
19.9999 1.85951
20.0999 1.85928
20.1999 1.85906
20.2999 1.85883
20.3999 1.85861
20.4999 1.85838
20.5999 1.85816
20.6999 1.85793
20.7999 1.85771
20.8999 1.85748
20.9999 1.85726
21.0999 1.85703
21.1999 1.85681
21.2999 1.85658
21.3999 1.85636
21.4999 1.85613
21.5999 1.85591
21.6999 1.85568
21.7999 1.85545
21.8999 1.85523
21.9999 1.855
22.0999 1.85478
22.1999 1.85455
22.2999 1.85433
22.3999 1.8541
22.4999 1.85388
22.5999 1.85365
22.6999 1.85342
22.7999 1.8532
22.8999 1.85297
22.9999 1.85275
23.0999 1.85252
23.1999 1.8523
23.2999 1.85207
23.3999 1.85184
23.4999 1.85162
23.5999 1.85139
23.6999 1.85117
23.7999 1.85094
23.8999 1.85071
23.9999 1.85049
24.0999 1.85026
24.1999 1.85004
24.2999 1.84981
24.3999 1.84958
24.4999 1.84936
24.5999 1.84913
24.6999 1.84891
24.7999 1.84868
24.8999 1.84845
24.9999 1.84823
25.0999 1.848
25.1999 1.84777
25.2999 1.84755
25.3999 1.84732
25.4999 1.84709
25.5999 1.84687
25.6999 1.84664
25.7999 1.84641
25.8999 1.84619
25.9999 1.84596
26.0999 1.84573
26.1999 1.84551
26.2999 1.84528
26.3999 1.84506
26.4999 1.84483
26.5999 1.8446
26.6999 1.84438
26.7999 1.84415
26.8999 1.84392
26.9998 1.84369
27.0998 1.84347
27.1998 1.84324
27.2998 1.84301
27.3998 1.84279
27.4998 1.84256
27.5998 1.84233
27.6998 1.84211
27.7998 1.84188
27.8998 1.84165
27.9998 1.84142
28.0998 1.8412
28.1998 1.84097
28.2998 1.84074
28.3998 1.84052
28.4998 1.84029
28.5998 1.84006
28.6998 1.83983
28.7998 1.83961
28.8998 1.83938
28.9998 1.83915
29.0998 1.83892
29.1998 1.8387
29.2998 1.83847
29.3998 1.83824
29.4998 1.83801
29.5998 1.83779
29.6998 1.83756
29.7998 1.83733
29.8998 1.8371
29.9998 1.83687
30.0998 1.83665
30.1998 1.83642
30.2998 1.83619
30.3998 1.83596
30.4998 1.83574
30.5998 1.83551
30.6998 1.83528
30.7998 1.83505
30.8998 1.83482
30.9998 1.8346
31.0998 1.83437
31.1998 1.83414
31.2998 1.83391
31.3998 1.83368
31.4998 1.83345
31.5998 1.83323
31.6998 1.833
31.7998 1.83277
31.8998 1.83254
31.9998 1.83231
32.0998 1.83208
32.1998 1.83186
32.2998 1.83163
32.3998 1.8314
32.4998 1.83117
32.5998 1.83094
32.6998 1.83071
32.7998 1.83048
32.8998 1.83026
32.9998 1.83003
33.0998 1.8298
33.1998 1.82957
33.2998 1.82934
33.3998 1.82911
33.4998 1.82888
33.5998 1.82865
33.6998 1.82843
33.7998 1.8282
33.8998 1.82797
33.9998 1.82774
34.0998 1.82751
34.1998 1.82728
34.2998 1.82705
34.3998 1.82682
34.4998 1.82659
34.5998 1.82636
34.6998 1.82613
34.7998 1.8259
34.8998 1.82568
34.9998 1.82545
35.0998 1.82522
